,title,runtime,mpaa_rating,theatrical_release,director,actor,plot
145,Me and Orson Welles,119,PG-13,2009-11-25,Richard Linklater,"Zac Efron, Claire Danes, Christian McKay, Ben Chaplin, Eddie Marsan","In November 1937, high school student and aspiring thespian Richard Samuels takes a day trip into New York City. There, he meets and begins a casual friendship with Gretta Adler, their friendship based on a shared love and goal of a profession in the creative arts. But also on this trip, Richard stumbles across the Mercury Theatre and meets Orson Welles, who, based on an impromptu audition, offers Richard an acting job as Lucius in his modern retelling of Julius Caesar, which includes such stalwart Mercury Theatre players as Joseph Cotten and George Coulouris. Despite others with official roles as producer John Houseman, this production belongs to Welles, the unofficial/official dictator. In other words, whatever Welles wants, the cast and crew better deliver. These requests include everything, even those of a sexual nature. Welles does not believe in conventions and will do whatever he wants, which includes not having a fixed opening date, although the unofficial opening date is in one week's time. In turn, Welles realizes that his name will either be strengthened or ruined in the theater community by this production. Richard is taken under the wing by the production's Jane-of-All-Trades, Sonja Jones. Known as the Ice Queen by the male cast, Sonja deflects much of the unwanted sexual attention by jokingly implying that she and Richard are having a fling, which Richard wants nothing more than to be the truth. As the end of the week and opening night approaches, Richard, having seen Welles' behavior, has to decide if acting in this production is worth it at any cost."
146,Monsters vs. Aliens,94,PG,2009-03-27,"Robert Letterman, Rob Letterman","Reese Witherspoon, Hugh Laurie, Seth Rogen, Will Arnett, Kiefer Sutherland",A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.
147,Crude,100,Unrated,2009-09-09,Joe Berlinger,"Pablo Fajardo, Luis Yanza, German Yanez, Adolfo Callejas, Diego Larrea","One of the largest and most controversial legal cases on the planet. An inside look at the infamous $27 billion ""Amazon Chernobyl"" case, CRUDE is a real-life high stakes legal drama set against a backdrop of the environmental movement, global politics, celebrity activism, human rights advocacy, the media, multinational corporate power, and rapidly-disappearing indigenous cultures. Presenting a complex situation from multiple viewpoints, the film examines a complicated situation from several angles while bringing a story of environmental peril and human suffering into focus."
148,Did You Hear About the Morgans?,104,PG-13,2009-12-18,Marc Lawrence,"Hugh Grant, Sarah Jessica Parker, Elisabeth Moss, Sam Elliott, Mary Steenburgen","Meryl and Paul Morgan have separated since his infidelity. He's a Manhattan lawyer, seeking forgiveness. She's moved on, focusing on real estate sales. As he walks her to an appointment one evening, pleading his case, they witness a murder; the murderer sees them. The FBI wants them in witness protection until the killer is caught. He's already hunting them. The FBI sends them to Ray, Wyoming, a tiny ranch town, where they stay with the aging sheriff and his gun-toting wife (who's his deputy). Meryl and Paul must sort out their relationship while their New York ways bump up against those of the West. Meantime, Meryl knows two things that Paul doesn't."
149,District 9,112,R,2009-08-14,Neill Blomkamp,"Sharlto Copley, David James, Vanessa Haywood, Mandla Gaduka, Kenneth Nkosi","In 1982, a massive star ship bearing a bedraggled alien population, nicknamed ""The Prawns,"" appeared over Johannesburg, South Africa. Twenty-eight years later, the initial welcome by the human population has faded. The refugee camp where the aliens were located has deteriorated into a militarized ghetto called District 9, where they are confined and exploited in squalor. In 2010, the munitions corporation, Multi-National United, is contracted to forcibly evict the population with operative Wikus van der Merwe in charge. In this operation, Wikus is exposed to a strange alien chemical and must rely on the help of his only two new 'Prawn' friends."
150,Easy Virtue,96,PG-13,2009-05-22,Stephan Elliott,"Jessica Biel, Colin Firth, Ben Barnes, Kris Marshall, Kristin Scott Thomas","Between world wars, the Whittaker's estate is sinking; only the iron will of Mrs. Whittaker staves off bankruptcy while she awaits her son John's return from the continent. To her dismay, he brings a bride: an American widow who races cars. The bride, Larita, thinks she and John will visit and then go to London, where he'll work and she'll race. But John is to the manor born, and mother is nothing if not a master at plans and manipulation. Soon it's all-out war between mother and bride, with John's father, a burnt out veteran of the Great War, in the bride's corner ineffectually. Mother has a plan to join with the neighboring estate; only Larita is in her way. Can't we all get along?"
151,Everybody's Fine,100,PG-13,2009-12-04,Kirk Jones,"Drew Barrymore, Kate Beckinsale, Sam Rockwell, Lucian Maisel, Robert De Niro","Frank Goode lives by himself in Elmira, NY, a recent widower with heart trouble, retired from a factory job, proud of having pushed his adult children toward success. In the summer, all four kids bail on a reunion, so, against doctor's orders, Frank decides to surprise each with a visit. He sets out to see his artist son in New York City, his daughter the ad exec in Chicago, his son the conductor on tour and presently in Denver, and his daughter who's a performer in Vegas. None are as he imagines or hopes. Will they let him see themselves as they are, and can this dad adapt?"
152,Fanboys,90,PG-13,2008-07-31,Kyle Newman,"Sam Huntington, Christopher George Marquette, Jay Baruchel, Dan Fogler, Kristen Bell",Star Wars fanatics take a cross-country trip to George Lucas' Skywalker Ranch so their dying friend can see a screening of Star Wars: Episode I - The Phantom Menace (1999) before its release.
153,Fantastic Mr. Fox,87,PG,2009-11-25,Wes Anderson,"Meryl Streep, Jason Schwartzman, Bill Murray, George Clooney, Wallace Wolodarsky","It is the story of one Mr. Fox and his wild-ways of hen heckling, turkey taking and cider sipping, nocturnal, instinctive adventures. He has to put his wild days behind him and do what fathers do best: be responsible. He is too rebellious. He is too wild. He is going to try ""just one more raid"" on the three nastiest, meanest farmers that are Boggis, Bunce and Bean. It is a tale of crossing the line of family responsibilities and midnight adventure and the friendships and awakenings of this country life that is inhabited by Fantastic Mr. Fox and his friends."
154,Friday the 13th,98,R,2009-02-13,Marcus Nispel,"Jared Padalecki, Danielle Panabaker, Amanda Righetti, Travis Van Winkle, Aaron Yoo","A group of camp counselors is stalked and murdered by an unknown assailant while trying to reopen a summer camp which, years before, was the site of a child's drowning."
155,Funny People,146,R,2009-07-31,Judd Apatow,"Adam Sandler, Seth Rogen, Leslie Mann, Eric Bana, Jonah Hill","George is a very successful stand up comedian who learns that he has an untreatable blood disorder and is given less than a year to live. Ira is a struggling up-and-coming stand up comedian who works at a deli and has yet to figure out his onstage persona. One night, these two perform at the same club and George takes notice of Ira. George hires Ira to be his semi-personal assistant as well as his friend."
156,Gamer,95,R,2009-09-04,"Mark Neveldine, Brian Taylor","Gerard Butler, Zoe Bell, Milo Ventimiglia, Alison Lohman, Michael C. Hall","Set in a future-world where humans can control other humans in mass-scale, multi-player online gaming environments, a star player from a game called ""Slayers"" looks to regain his independence while taking down the game's mastermind."
157,The Ghosts of Girlfriends Past,100,PG-13,2009-05-01,Mark Waters,"Matthew McConaughey, Jennifer Garner, Breckin Meyer, Lacey Chabert, Michael Douglas","Connor Mead, a successful fashion photographer and a Lothario keen on casual sex, goes to his younger brother's wedding to convince him not to marry. He arrives at his dead uncle's estate during the rehearsal the night before the wedding; he starts in, taking his brother aside, trashing marriage. Later in the men's room, his uncle, who taught Connor all he knows about women, appears to him, confesses to have been wrong, and tells Connor that three ghosts will visit him that night: the ghosts of girlfriends past, present, and future. Connor has already set the breakup in motion. Can he learn anything from his life and fix what he's broken?"
158,H2: Halloween II,106,R,2009-08-28,Rob Zombie,"Tyler Mane, Scout Taylor-Compton, Danielle Harris, Brad Dourif, Malcolm McDowell","In a continuation of the plot of Halloween, Michael Myers shows off his indestructability by resuming his murder spree despite being gunned down with six bullets in the original movie. Laurie Strode is once more his intended victim, with Dr. Sam Loomis again in hot persuit."
159,Hannah Montana: The Movie,92,G,2009-04-10,"Peter Chelsom, Sam W. Orender","Miley Cyrus, Billy Ray Cyrus, Emily Osment, Jason Earles, Mitchel Musso","As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most."
160,Harry Potter and the Half-Blood Prince,154,PG,2009-07-15,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Tom Felton, Helena Bonham Carter","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past."
